Frequency,EQ (db),EQ (deg),EQ mag,EQ Real,EQ Imagi,Calculated Admittance Magnitude,Calculated Admitance Real,Calculated Admitance Imagi,Calculated Impedance Magnitude,Calculated Impedance Real,Calculated Impedance Imagi,S11 mag linear
153641250.0,-32.370663,47.773952,0.000579340246787308,0.0003893498460765352,0.00042900095443688377,0.0007384552535744083,0.0006468736335335884,0.00035618908429469934,1354.1781917856422,1545.896985377865,2807.497601955236,0.9373585799912759
153642187.5,-32.374340000000004,47.76886,0.0005788499498486989,0.00038905843087751695,0.0004286033152029574,0.0007381846484661208,0.0006466633999209203,0.00035600986283215,1354.6746089584865,1546.3995644755662,2808.910944333797,0.9373782815978874
153643125.0,-32.373482,47.589214,0.0005789643197844808,0.0003904775010291878,0.0004274657936882285,0.0007397227512161386,0.0006489568177966535,0.00035502788242899224,1351.857839110604,1540.9345777354074,2816.680180605269,0.9371630626992059
153644062.5,-32.365551,47.705742,0.0005800225789752543,0.00039031945852460747,0.0004290418539235564,0.0007394467125009866,0.000648102388798256,0.0003560122670112803,1352.3624935970836,1542.9660764779007,2808.891975534975,0.9372433054023177
153645000.0,-32.359268,47.779182,0.0005808623131658897,0.00039033349788425545,0.0004301636749957743,0.0007393813531365995,0.0006476574357507409,0.0003566856196749228,1352.482038879944,1544.0261236881138,2803.5893370508825,0.9372851127082159
153645937.5,-32.348495,47.845524,0.0005823049742269675,0.00039080337137512987,0.00043168484792878886,0.0007397548478965455,0.0006476331638748029,0.0003575031748613624,1351.7991843425536,1544.0839904136144,2797.1779562175757,0.9372874780750868
153646875.0,-32.325264000000004,47.731235999999996,0.000585428148088367,0.00039376435135269065,0.00043321559549255585,0.000742672687718728,0.0006507955067542924,0.00035780990689440533,1346.4881858947929,1536.5809837675317,2794.7800793987344,0.9369909386925601
153647812.5,-32.353287,47.757954,0.0005816628139753889,0.0003910309939930844,0.0004306116474255523,0.0007400638079161564,0.000648367662176458,0.000356810614235614,1351.2348385415064,1542.3347867831242,2802.6072098283107,0.9372185115208493
153648750.0,-32.340042,47.576084,0.0005834394618866298,0.00039359442773927465,0.0004306797326774886,0.0007426810562545472,0.0006516217687580001,0.00035632039206318994,1346.4730136556211,1534.6325858726505,2806.4630099044675,0.936913302064904
153649687.5,-32.320625,47.885273,0.0005860538185208535,0.0003930178354690317,0.00043473677001849137,0.0007418037512568488,0.0006492156199022326,0.0003588758618989198,1348.0654395528272,1540.3203024452694,2786.478852906685,0.9371392096016187
153650625.0,-32.347347,47.67453,0.0005824589191879994,0.0003921936104156314,0.0004306304268056361,0.0007412524177752717,0.0006498501159444891,0.00035658094966587887,1349.0681123190263,1538.8163754446741,2804.412296666475,0.9370794565245621
153651562.5,-32.32375,47.543934,0.0005856322705824115,0.00039531623018568263,0.0004320766534994586,0.0007443379732395993,0.0006532452051543272,0.000356804877137793,1343.4757273603507,1530.818737144428,2802.652273202572,0.9367611519853106
153652500.0,-32.335594,47.781566999999995,0.0005840373207694507,0.00039244906607365914,0.00043253129665894816,0.0007413780545831957,0.0006493942169130565,0.0003576710372079938,1348.83949399096,1539.896682101011,2795.8651832870587,0.937122328949634
153653437.5,-32.331032,47.855415,0.000584651138868089,0.0003923031289359467,0.000433491879055213,0.0007411613625974583,0.0006488121961872149,0.000358277684884286,1349.2338517153962,1541.2780553087039,2791.1311314936424,0.937176979084784
153654375.0,-32.338454999999996,47.83123,0.0005836527014417901,0.00039181580659898883,0.00043258623371471636,0.0007407268184835249,0.0006485602158832387,0.00035783497033438724,1350.0253737906773,1541.8768766723606,2794.584327701473,0.9372005633956771
